person,date,weight
BK,2018-01-06,215.7
BK,2018-01-07,214.8
BK,2018-01-08,214.4
BK,2018-01-09,214
BK,2018-01-10,214.3
BK,2018-01-11,213.1
BK,2018-01-12,215.5
NoushDog,2018-01-09,116
RoryBoo,2018-01-09,167
Snowzy,2018-01-09,152
NoushDog,2018-01-12,114.2
BK,2018-01-13,216.2
ZarZar,2018-01-13,149
NoushDog,2018-01-13,113.2
RoryBoo,2018-01-09,167.2
RoryBoo,2018-01-10,166.2
RoryBoo,2018-01-12,166.4
RoryBoo,2018-01-13,166.4
BK,2018-01-14,216.4
NoushDog,2018-01-14,114.5
ZarZar,2018-01-14,148.7
BK,2018-01-15,215.2
BK,2018-01-16,211.1
NoushDog,2018-01-16,113.8
ZarZar,2018-01-16,146.8
ZarZar,2018-01-15,149.1
ZarZar,2018-01-15,149.1
RoryBoo,2018-01-16,168
Snowzy,2018-01-14,152

